fine_label	utterance
UNK:UNK	Interaction Between “Independent” Genotox Expert and Monsanto Lead Toxicologists Farmer and Heydens in Preparation for “Independent” Panel Presentations Disputing IARC Glyphosate Findings Monsanto consultant draft charge questions for genotoxicity and oxidative stress. 26 Bates Title Description ACQUAVELLAPROD00017681 7/30/2015
UNK:UNK	Monsanto Email Re: Contract Agreements Required of Subcontractors This document contains email correspondence bet ween Monsanto consultant, John Acquavella and Intertek employees, Pamela Gray and Ashley Roberts regarding agreements required of subcontractors. MONGLY03501643 7/31/2015
UNK:UNK	Monsanto Email Discussing Intertek Agreement Email exchange between Karen Carter, Darla Gault, William Heydens and others discussing the Intertek consulting agreement for the Glyphosate Expert Panel. MONGLY01723742 8/4/2015
UNK:UNK	Monsanto Scientist Admits to Ghostwriting Cancer Review Paper This document is from the custodial file of Dr. David Saltmiras and is titled “Glyphosate Activities”. Dr. Saltmiras’ activities for 2015 included: “IARC prep: AHS Sorahan reanalysis for multiple myeloma presented at EUROTOX 2012, Kier & Kirkland (2013), ghost wrote cancer review paper Greim et al. (2015), coord Kier (2015) update to K&K, pushed for Sorahan (2015).” MONGLY02816607 8/6/2015 - 8/14/2015
UNK:UNK	Email Showing Monsanto Paid Multiple Individuals on Expert Panel Prior to and During Review on Glyphosate This document contains email correspondence between various Monsanto employees wherein Dr. Donna Farmer comments with respect to the Expert Panel: “We have another consulting doing the same thing that John Acquavella is doing for the epidemiology ar ea... Larry Kier is facilitating the gentox area of the expert, panel. We have had a contract with Larry Kier before. How do we get this set up for Larry so that he too can be paid - 12K in 2015? at *2. 27 Bates Title Description MONGLY02122931 MONGLY02122933- MONGLY02122998 8/11/2015
UNK:UNK	Bill Heydens comments on Chang & Delzell manuscript AND Comments on Manuscript Systematic review and meta - analysis of g lyphosate exposure and risk of lymphohematopoietic cancers MONGLY02122931 is an email exchange between Bill Heydens and Donna Farmer re: Chang & Delzell manuscript. MONGLY02122933- MONGLY02122998 contains Bill Heydens’ comments to Chang & Delzell manuscript. MONGLY01680756 8/17/2015
UNK:UNK	Email Showing Monsanto Paid a Consultant on Expert Panel Believed to be Com posed of Independent Scientists This document is a consulting agreement between Monsanto and Larry D. Kier, one of the individuals on the Intertek Expert Panel. Although the Expert Panel was supposed to be composed of scientists independent of Monsanto, the consulting agreement demonstra tes that Dr. Kier worked directly for Monsanto and this relationship was not disclosed in the published manuscript. 28 Bates Title Description MONGLY01031407 - MONGLY01031410 MONGLY01031411- MONGLY01031514 8/26/2015
UNK:UNK	Monsanto Email Re: Revised ms and signed contract AND Manuscript Draft “Systematic review and meta -analysis of glyphosate exposure and risk of lymphohematopoietic cancers” (Chang and Delzell) This document contains email correspondence between Monsanto employee Donna Farmer, and Exponent employees, Ellen Chang and Elizabeth Delzell, regarding Revised ms and signed contract, and including attachment, manuscript draft “Systematic review and meta - analy sis of glyphosate exposure and risk of lymphohematopoietic cancers” wherein Farmer writes: “Thank you for the opportunity to review the draft of the paper and please see our suggested comments in the attachment.” 29 Bates Title Description MONGLY01308958 8/2015
UNK:UNK	Handwritten Edits on Chang & Delzell Meta Analysis Handwritten notes and edits to Chang & Delzell manuscript 30 Bates Title Description ONGLY02463329 MONGLY02463331- MONGLY02463443 8/17/2015
UNK:UNK	Email Discussion Between Donna Farmer and Exponent Employees Ellen Chang and Elizabe th Delzell AND Confidential Draft: Systematic review and meta -analysis of glyphosate exposure and risk of lymphohematopoietic cancers MONGLY02463329 is an email exchange in which Ellen Chang (Exponent) sends Donna Farmer a draft of the Exponent meta -analysis incorporating comments from Acquavella and Sorahan. MONGLY02463331- MONGLY02463443 is the Exponent meta -analysis (attachment to email above).. MONGLY02463444 MONGLY02463447 8/25/2015
UNK:UNK	Monsanto Email Re: Revised ms and signed contract AND CONFIDENTIAL DRAFT – Chang & Delzell Donna Farmer comments on draft of Exponent meta -analysis 31 Bates Title Description MONGLY02844211 8/28/2015
UNK:UNK	Monsanto Email: William Heydens’ first draft of the expert panel manuscript William Heydens’ first draft of the expert panel manuscript. MONGLY00994301 - MONGLY00994304 MONGLY00994305- MONGLY00994321 8/28/2015
UNK:UNK	Monsanto Email Re: Draft of Table Attached AND Review of IARC’s Opinion on Glyphosate (Animal Carcinogenicity Working Group) This document c ontains email correspondence between Monsanto employee William Heydens, consultant, Keith Solomon, and Intertek employee, Ashley Roberts regarding Draft of Table Attached, with attachment, “Review of IARC’s Opinion on Glyphosate (Animal Carcinogenicity Wor king Group) August 18, 2015. MONGLY03934897 8/31/2015
UNK:UNK	Invoice Showing Monsanto Paid $20,000 to Expert Panel Member Dr. John Acquavella This document is an invoice dated August 31, 2015 from Monsanto to Dr. John Acquavella in the sum of $20,700 for “consulting hours in August 2015 related to the glyphosate expert epidemiology panel.” at *1. 32 Bates Title Description MONGLY02735631 - MONGLY02735632 9/22/2015
